TACC:  Starting up job 11435098 
TACC:  Starting parallel tasks... 
Running problem size 40^3 per domain until completion
Num processors: 512
Num threads: 32
Total number of elements: 32768000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

cycle = 188, time = 1.235422e-06, dt=1.092534e-08
cycle = 189, time = 1.246347e-06, dt=1.092534e-08
cycle = 190, time = 1.257273e-06, dt=1.092534e-08
cycle = 191, time = 1.268198e-06, dt=1.092534e-08
cycle = 192, time = 1.280310e-06, dt=1.211218e-08
cycle = 193, time = 1.292423e-06, dt=1.211218e-08
cycle = 194, time = 1.304535e-06, dt=1.211218e-08
cycle = 195, time = 1.316647e-06, dt=1.211218e-08
cycle = 196, time = 1.328759e-06, dt=1.211218e-08
cycle = 197, time = 1.340871e-06, dt=1.211218e-08
cycle = 198, time = 1.352983e-06, dt=1.211218e-08
cycle = 199, time = 1.364894e-06, dt=1.191093e-08
cycle = 200, time = 1.376514e-06, dt=1.161928e-08
cycle = 201, time = 1.387869e-06, dt=1.135493e-08
cycle = 202, time = 1.398987e-06, dt=1.111815e-08
cycle = 203, time = 1.409899e-06, dt=1.091212e-08
cycle = 204, time = 1.420641e-06, dt=1.074213e-08
cycle = 205, time = 1.431247e-06, dt=1.060650e-08
cycle = 206, time = 1.441752e-06, dt=1.050432e-08
cycle = 207, time = 1.452187e-06, dt=1.043562e-08
cycle = 208, time = 1.462589e-06, dt=1.040142e-08
cycle = 209, time = 1.472990e-06, dt=1.040142e-08
cycle = 210, time = 1.483392e-06, dt=1.040142e-08
cycle = 211, time = 1.493793e-06, dt=1.040142e-08
cycle = 212, time = 1.504195e-06, dt=1.040142e-08
cycle = 213, time = 1.514596e-06, dt=1.040142e-08
cycle = 214, time = 1.524997e-06, dt=1.040142e-08
cycle = 215, time = 1.535399e-06, dt=1.040142e-08
cycle = 216, time = 1.547043e-06, dt=1.164385e-08
cycle = 217, time = 1.558686e-06, dt=1.164385e-08
cycle = 218, time = 1.570330e-06, dt=1.164385e-08
cycle = 219, time = 1.581974e-06, dt=1.164385e-08
cycle = 220, time = 1.593618e-06, dt=1.164385e-08
cycle = 221, time = 1.606679e-06, dt=1.306060e-08
cycle = 222, time = 1.619739e-06, dt=1.306060e-08
cycle = 223, time = 1.632800e-06, dt=1.306060e-08
cycle = 224, time = 1.645860e-06, dt=1.306060e-08
cycle = 225, time = 1.658921e-06, dt=1.306060e-08
cycle = 226, time = 1.671982e-06, dt=1.306060e-08
cycle = 227, time = 1.685042e-06, dt=1.306060e-08
cycle = 228, time = 1.698103e-06, dt=1.306060e-08
cycle = 229, time = 1.711163e-06, dt=1.306060e-08
cycle = 230, time = 1.724224e-06, dt=1.306060e-08
cycle = 231, time = 1.737285e-06, dt=1.306060e-08
cycle = 232, time = 1.750345e-06, dt=1.306060e-08
cycle = 233, time = 1.763406e-06, dt=1.306060e-08
cycle = 234, time = 1.777820e-06, dt=1.441383e-08
cycle = 235, time = 1.792221e-06, dt=1.440108e-08
cycle = 236, time = 1.806621e-06, dt=1.440035e-08
cycle = 237, time = 1.821021e-06, dt=1.440035e-08
cycle = 238, time = 1.835422e-06, dt=1.440035e-08
cycle = 239, time = 1.849822e-06, dt=1.440035e-08
cycle = 240, time = 1.864223e-06, dt=1.440035e-08
cycle = 241, time = 1.878623e-06, dt=1.440035e-08
cycle = 242, time = 1.893023e-06, dt=1.440035e-08
cycle = 243, time = 1.907424e-06, dt=1.440035e-08
cycle = 244, time = 1.921824e-06, dt=1.440035e-08
cycle = 245, time = 1.936060e-06, dt=1.423555e-08
cycle = 246, time = 1.950010e-06, dt=1.395050e-08
cycle = 247, time = 1.963709e-06, dt=1.369866e-08
cycle = 248, time = 1.977190e-06, dt=1.348125e-08
cycle = 249, time = 1.990487e-06, dt=1.329723e-08
cycle = 250, time = 2.003633e-06, dt=1.314601e-08
cycle = 251, time = 2.016672e-06, dt=1.303911e-08
cycle = 252, time = 2.029651e-06, dt=1.297866e-08
cycle = 253, time = 2.042617e-06, dt=1.296623e-08
cycle = 254, time = 2.055583e-06, dt=1.296623e-08
cycle = 255, time = 2.068550e-06, dt=1.296623e-08
cycle = 256, time = 2.081516e-06, dt=1.296623e-08
cycle = 257, time = 2.094482e-06, dt=1.296623e-08
cycle = 258, time = 2.107448e-06, dt=1.296623e-08
cycle = 259, time = 2.120415e-06, dt=1.296623e-08
cycle = 260, time = 2.134905e-06, dt=1.448997e-08
cycle = 261, time = 2.149394e-06, dt=1.448997e-08
cycle = 262, time = 2.163884e-06, dt=1.448997e-08
cycle = 263, time = 2.178374e-06, dt=1.448997e-08
cycle = 264, time = 2.192864e-06, dt=1.448997e-08
cycle = 265, time = 2.207354e-06, dt=1.448997e-08
cycle = 266, time = 2.223295e-06, dt=1.594057e-08
cycle = 267, time = 2.239236e-06, dt=1.594057e-08
cycle = 268, time = 2.255176e-06, dt=1.594057e-08
cycle = 269, time = 2.271117e-06, dt=1.594057e-08
cycle = 270, time = 2.287057e-06, dt=1.594057e-08
cycle = 271, time = 2.302998e-06, dt=1.594057e-08
cycle = 272, time = 2.318938e-06, dt=1.594057e-08
cycle = 273, time = 2.334879e-06, dt=1.594057e-08
cycle = 274, time = 2.350820e-06, dt=1.594057e-08
cycle = 275, time = 2.366760e-06, dt=1.594057e-08
cycle = 276, time = 2.382701e-06, dt=1.594057e-08
cycle = 277, time = 2.398641e-06, dt=1.594057e-08
cycle = 278, time = 2.414582e-06, dt=1.594057e-08
cycle = 279, time = 2.430522e-06, dt=1.594057e-08
cycle = 280, time = 2.446463e-06, dt=1.594057e-08
cycle = 281, time = 2.462404e-06, dt=1.594057e-08
cycle = 282, time = 2.480023e-06, dt=1.761974e-08
cycle = 283, time = 2.497545e-06, dt=1.752218e-08
cycle = 284, time = 2.515009e-06, dt=1.746380e-08
cycle = 285, time = 2.532473e-06, dt=1.746380e-08
cycle = 286, time = 2.549937e-06, dt=1.746380e-08
cycle = 287, time = 2.567401e-06, dt=1.746380e-08
cycle = 288, time = 2.584574e-06, dt=1.717324e-08
cycle = 289, time = 2.601388e-06, dt=1.681414e-08
cycle = 290, time = 2.617882e-06, dt=1.649354e-08
cycle = 291, time = 2.634093e-06, dt=1.621128e-08
cycle = 292, time = 2.650058e-06, dt=1.596557e-08
cycle = 293, time = 2.665816e-06, dt=1.575800e-08
cycle = 294, time = 2.681412e-06, dt=1.559605e-08
cycle = 295, time = 2.696892e-06, dt=1.547956e-08
cycle = 296, time = 2.712310e-06, dt=1.541801e-08
cycle = 297, time = 2.727724e-06, dt=1.541411e-08
cycle = 298, time = 2.743138e-06, dt=1.541411e-08
cycle = 299, time = 2.758552e-06, dt=1.541411e-08
cycle = 300, time = 2.773966e-06, dt=1.541411e-08
cycle = 301, time = 2.789381e-06, dt=1.541411e-08
cycle = 302, time = 2.804795e-06, dt=1.541411e-08
cycle = 303, time = 2.820209e-06, dt=1.541411e-08
cycle = 304, time = 2.837432e-06, dt=1.722326e-08
cycle = 305, time = 2.854655e-06, dt=1.722326e-08
cycle = 306, time = 2.871879e-06, dt=1.722326e-08
cycle = 307, time = 2.889102e-06, dt=1.722326e-08
cycle = 308, time = 2.906325e-06, dt=1.722326e-08
cycle = 309, time = 2.923548e-06, dt=1.722326e-08
cycle = 310, time = 2.942768e-06, dt=1.922002e-08
cycle = 311, time = 2.961988e-06, dt=1.922002e-08
cycle = 312, time = 2.981208e-06, dt=1.922002e-08
cycle = 313, time = 3.000428e-06, dt=1.922002e-08
cycle = 314, time = 3.019649e-06, dt=1.922002e-08
cycle = 315, time = 3.038869e-06, dt=1.922002e-08
cycle = 316, time = 3.058089e-06, dt=1.922002e-08
cycle = 317, time = 3.077309e-06, dt=1.922002e-08
cycle = 318, time = 3.096529e-06, dt=1.922002e-08
cycle = 319, time = 3.115749e-06, dt=1.922002e-08
cycle = 320, time = 3.134969e-06, dt=1.922002e-08
cycle = 321, time = 3.154189e-06, dt=1.922002e-08
cycle = 322, time = 3.173409e-06, dt=1.922002e-08
cycle = 323, time = 3.192629e-06, dt=1.922002e-08
cycle = 324, time = 3.211849e-06, dt=1.922002e-08
cycle = 325, time = 3.231069e-06, dt=1.922002e-08
cycle = 326, time = 3.250289e-06, dt=1.922002e-08
cycle = 327, time = 3.269509e-06, dt=1.922002e-08
cycle = 328, time = 3.288729e-06, dt=1.922002e-08
cycle = 329, time = 3.307949e-06, dt=1.922002e-08
cycle = 330, time = 3.327169e-06, dt=1.922002e-08
cycle = 331, time = 3.346389e-06, dt=1.922002e-08
cycle = 332, time = 3.365609e-06, dt=1.922002e-08
cycle = 333, time = 3.384757e-06, dt=1.914760e-08
cycle = 334, time = 3.403559e-06, dt=1.880258e-08
cycle = 335, time = 3.422052e-06, dt=1.849304e-08
cycle = 336, time = 3.440275e-06, dt=1.822305e-08
cycle = 337, time = 3.458267e-06, dt=1.799170e-08
cycle = 338, time = 3.476065e-06, dt=1.779849e-08
cycle = 339, time = 3.493713e-06, dt=1.764788e-08
cycle = 340, time = 3.511269e-06, dt=1.755618e-08
cycle = 341, time = 3.528795e-06, dt=1.752506e-08
cycle = 342, time = 3.546320e-06, dt=1.752506e-08
cycle = 343, time = 3.563845e-06, dt=1.752506e-08
cycle = 344, time = 3.581370e-06, dt=1.752506e-08
